City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
3985710,Cabo San Lucas,20,MX,1596402470,52,22.89,-109.91,91.4,13.87
2112309,Katsuura,75,JP,1596402470,94,35.13,140.3,75.2,5.82
2171099,Codrington,14,AU,1596402471,87,-38.27,141.97,42.66,10.54
2155415,New Norfolk,78,AU,1596402471,82,-42.78,147.06,44.01,1.01
1015776,Bredasdorp,0,ZA,1596402471,93,-34.53,20.04,48.2,4.7
2074865,Carnarvon,10,AU,1596402471,87,-24.87,113.63,53.6,5.82
2064735,Nhulunbuy,40,AU,1596402472,88,-12.23,136.77,71.6,6.93
605155,Kiruna,42,SE,1596402472,71,67.86,20.23,55.4,3.36
6096551,Pangnirtung,40,CA,1596402472,87,66.15,-65.71,51.8,14.99
1283217,Khanbari,100,NP,1596402472,77,27.37,87.2,75.87,1.39
2729907,Longyearbyen,20,SJ,1596402473,87,78.22,15.64,48.2,1.12
3833367,Ushuaia,20,AR,1596402396,75,-54.8,-68.3,41.0,19.46
6201424,Mataura,37,NZ,1596402473,95,-46.19,168.86,45.79,2.33
4791259,Virginia Beach,40,US,1596402080,52,36.85,-75.98,93.2,17.22
286621,Salalah,40,OM,1596402473,88,17.02,54.09,80.6,3.36
1856068,Nago,40,JP,1596402474,79,26.59,127.98,84.2,10.29
2132606,Samarai,100,PG,1596402474,85,-10.62,150.67,77.25,13.06
4020109,Atuona,8,PF,1596402474,77,-9.8,-139.03,78.64,17.43
3374036,Bridgetown,40,BB,1596402474,66,13.1,-59.62,87.8,13.87
2412408,Nioro,73,GM,1596402475,92,13.35,-15.75,76.53,6.98
3423146,Ilulissat,20,GL,1596402475,66,69.22,-51.1,48.2,8.05
2191562,Dunedin,98,NZ,1596402475,88,-45.87,170.5,50.0,1.01
2377457,Nouadhibou,0,MR,1596402475,83,20.93,-17.03,73.4,20.8
3430863,Mar del Plata,96,AR,1596402222,62,-38.0,-57.56,57.2,6.93
546105,Nikolskoye,75,RU,1596402476,87,59.7,30.79,59.0,2.24
6148373,Sioux Lookout,75,CA,1596402476,52,50.1,-91.92,66.2,10.29
4030556,Rikitea,69,PF,1596402363,78,-23.12,-134.97,72.84,11.92
5962442,Goderich,100,CA,1596402477,86,43.75,-81.72,70.0,28.52
3123493,Ferrol,100,ES,1596402477,77,43.48,-8.24,64.99,6.93
878141,Madimba,3,TZ,1596402477,87,-10.4,40.33,72.14,11.34
1505579,Inta,99,RU,1596402477,79,66.03,60.17,61.72,15.95
2137773,Vao,4,NC,1596402478,72,-22.67,167.48,67.15,16.42
1735106,George Town,20,MY,1596402478,78,5.41,100.34,82.4,5.82
5848280,Kapaa,40,US,1596402478,69,22.08,-159.32,82.4,13.87
6170031,Tuktoyaktuk,90,CA,1596402478,93,69.45,-133.04,46.4,17.22
1163054,Turbat,0,PK,1596402479,63,26.0,63.04,87.39,7.0
3393692,Itarema,2,BR,1596402479,77,-2.92,-39.92,79.02,13.62
1121143,Zabul Province,0,AF,1596402479,21,32.25,67.25,68.25,10.07
2392087,Porto-Novo,20,BJ,1596402479,83,6.5,2.6,77.0,11.41
5924351,Clyde River,40,CA,1596402480,81,70.47,-68.59,50.0,6.93
4032243,Vaini,75,TO,1596402480,88,-21.2,-175.2,73.4,10.29
2155562,Nelson Bay,53,AU,1596402480,100,-32.72,152.15,46.0,5.1
4031742,Egvekinot,12,RU,1596402481,64,66.32,-179.17,46.42,0.98
6111696,Port-Cartier,75,CA,1596402481,54,50.03,-66.87,78.8,6.93
5122534,Jamestown,90,US,1596402481,88,42.1,-79.24,73.99,13.87
